Detector,Det_pol,Feed,AzOff,ElOff,FWHM_x,FWHM_y,Theta,On
38,45,1,6.769,-6.7479,1.5,1.5,0,1
39,-45,1,6.769,-6.7479,1.5,1.5,0,1
40,-45,2,3.423,-7.0566,1.5,1.5,0,1
41,45,2,3.423,-7.0566,1.5,1.5,0,1
42,-45,3,0.0088,-7.1744,1.5,1.5,0,1
43,45,3,0.0088,-7.1744,1.5,1.5,0,1
52,-45,4,-3.4074,-7.0659,1.5,1.5,0,1
53,45,4,-3.4074,-7.0659,1.5,1.5,0,1
49,45,5,-6.7078,-6.7498,1.5,1.5,0,1
51,-45,5,-6.7078,-6.7498,1.5,1.5,0,1
22,-45,6,8.2721,-3.841,1.5,1.5,0,1
23,45,6,8.2721,-3.841,1.5,1.5,0,1
34,-45,7,5.0127,-4.2183,1.5,1.5,0,1
35,45,7,5.0127,-4.2183,1.5,1.5,0,1
36,45,8,1.69,-4.4359,1.5,1.5,0,1
37,-45,8,1.69,-4.4359,1.5,1.5,0,1
47,-45,9,-1.6871,-4.4465,1.5,1.5,0,1
48,45,9,-1.6871,-4.4465,1.5,1.5,0,1
45,45,10,-4.9544,-4.2531,1.5,1.5,0,1
46,-45,10,-4.9544,-4.2531,1.5,1.5,0,1
55,45,11,-8.2371,-3.8622,1.5,1.5,0,1
56,-45,11,-8.2371,-3.8622,1.5,1.5,0,1
30,-45,12,9.7331,-0.8512,1.5,1.5,0,1
32,45,12,9.7331,-0.8512,1.5,1.5,0,1
26,45,13,6.5478,-1.3202,1.5,1.5,0,1
27,-45,13,6.5478,-1.3202,1.5,1.5,0,1
24,45,14,3.313,-1.5965,1.5,1.5,0,1
25,-45,14,3.313,-1.5965,1.5,1.5,0,1
57,-45,15,0.0159,-1.6878,1.5,1.5,0,1
58,45,15,0.0159,-1.6878,1.5,1.5,0,1
59,-45,16,-3.2589,-1.6282,1.5,1.5,0,1
60,45,16,-3.2589,-1.6282,1.5,1.5,0,1
61,-45,17,-6.5185,-1.3611,1.5,1.5,0,1
62,45,17,-6.5185,-1.3611,1.5,1.5,0,1
63,-45,18,-9.713,-0.9094,1.5,1.5,0,1
65,45,18,-9.713,-0.9094,1.5,1.5,0,1
19,-45,19,9.5232,2.2742,1.5,1.5,0,1
21,45,19,9.5232,2.2742,1.5,1.5,0,1
17,45,20,6.4229,1.8823,1.5,1.5,0,1
18,-45,20,6.4229,1.8823,1.5,1.5,0,1
15,-45,21,3.2374,1.6272,1.5,1.5,0,1
16,45,21,3.2374,1.6272,1.5,1.5,0,1
13,45,22,0.0294,1.5514,1.5,1.5,0,1
14,-45,22,0.0294,1.5514,1.5,1.5,0,1
68,-45,23,-3.1931,1.6174,1.5,1.5,0,1
69,45,23,-3.1931,1.6174,1.5,1.5,0,1
70,-45,24,-6.401,1.8659,1.5,1.5,0,1
71,45,24,-6.401,1.8659,1.5,1.5,0,1
72,-45,25,-9.5036,2.254,1.5,1.5,0,1
76,45,25,-9.5036,2.254,1.5,1.5,0,1
11,45,26,7.8358,4.8061,1.5,1.5,0,1
12,-45,26,7.8358,4.8061,1.5,1.5,0,1
0,45,27,4.7391,4.5192,1.5,1.5,0,1
1,-45,27,4.7391,4.5192,1.5,1.5,0,1
2,45,28,1.5819,4.3864,1.5,1.5,0,1
4,-45,28,1.5819,4.3864,1.5,1.5,0,1
79,45,29,-1.56,4.3875,1.5,1.5,0,1
80,-45,29,-1.56,4.3875,1.5,1.5,0,1
77,45,30,-4.7131,4.5385,1.5,1.5,0,1
78,-45,30,-4.7131,4.5385,1.5,1.5,0,1
66,45,31,-7.8095,4.8238,1.5,1.5,0,1
67,-45,31,-7.8095,4.8238,1.5,1.5,0,1
5,45,32,6.1884,7.4543,1.5,1.5,0,1
7,-45,32,6.1884,7.4543,1.5,1.5,0,1
8,45,33,3.0966,7.2812,1.5,1.5,0,1
9,-45,33,3.0966,7.2812,1.5,1.5,0,1
85,-45,34,0.0127,7.2127,1.5,1.5,0,1
86,45,34,0.0127,7.2127,1.5,1.5,0,1
83,45,35,-3.0919,7.2857,1.5,1.5,0,1
84,-45,35,-3.0919,7.2857,1.5,1.5,0,1
81,45,36,-6.1521,7.4593,1.5,1.5,0,1
82,-45,36,-6.1521,7.4593,1.5,1.5,0,1
