Detector,det_pol,Feed,AzOff,ElOff,FWHM_x,FWHM_y,Theta
38,45,1,6.769,-6.7479,1.4284,1.5520,-69.15
39,-45,1,6.7743,-6.7468,1.4494,1.5609,-75.39
40,-45,2,3.423,-7.0566,1.3887,1.4980,-79.27
41,45,2,3.4214,-7.0603,1.4026,1.5251,-70.94
42,-45,3,0.0088,-7.1744,1.3836,1.5201,85.69
43,45,3,0.0031,-7.1787,1.3845,1.5164,-87.29
52,-45,4,-3.4074,-7.0659,1.3693,1.4759,71.54
53,45,4,-3.4084,-7.0577,1.3324,1.4265,85.55
49,45,5,-6.7078,-6.7498,1.3878,1.5061,77.98
51,-45,5,-6.699,-6.7527,1.3927,1.5250,71.93
22,-45,6,8.2721,-3.841,1.3983,1.5157,-63.54
23,45,6,8.2727,-3.8404,1.3732,1.5112,-59.26
34,-45,7,5.0127,-4.2183,1.4289,1.5186,-64.03
35,45,7,5.013,-4.2251,1.3909,1.5205,-55.9
36,45,8,1.69,-4.4359,1.4043,1.4951,-74.68
37,-45,8,1.6914,-4.4363,1.4002,1.4804,-84.77
47,-45,9,-1.6871,-4.4465,1.3810,1.4582,77.2
48,45,9,-1.6876,-4.4433,1.3482,1.4228,-83.89
45,45,10,-4.9544,-4.2531,1.2978,1.3351,61.46
46,-45,10,-4.965,-4.2599,1.3439,1.4615,56.57
55,45,11,-8.2371,-3.8622,1.4437,1.5717,65.59
56,-45,11,-8.2367,-3.8688,1.4428,1.6007,58.9
30,-45,12,9.7331,-0.8512,1.3518,1.4894,-57.94
32,45,12,9.733,-0.8534,1.3434,1.5082,-53.63
26,45,13,6.5478,-1.3202,1.3342,1.4614,-43.65
27,-45,13,6.5515,-1.3113,1.3545,1.4473,-45.37
24,45,14,3.313,-1.5965,1.3978,1.4613,-54.93
25,-45,14,3.3136,-1.591,1.4055,1.4388,-70.38
57,-45,15,0.0159,-1.6878,1.4535,1.4726,88.96
58,45,15,0.0137,-1.6855,1.4325,1.4745,-59.12
59,-45,16,-3.2589,-1.6282,1.4809,1.5311,56.14
60,45,16,-3.2602,-1.6272,1.4768,1.5031,70.89
61,-45,17,-6.5185,-1.3611,1.3553,1.4908,43.38
62,45,17,-6.5208,-1.3589,1.3716,1.4754,44.55
63,-45,18,-9.713,-0.9094,1.3631,1.5191,53.13
65,45,18,-9.7221,-0.9072,1.3923,1.5176,56.19
19,-45,19,9.5232,2.2742,1.3801,1.5238,-46.3
21,45,19,9.52,2.2773,1.3665,1.5293,-44.82
17,45,20,6.4229,1.8823,1.3749,1.4781,-34.55
18,-45,20,6.4225,1.8809,1.3852,1.4680,-33.45
15,-45,21,3.2374,1.6272,1.4228,1.4570,-43
16,45,21,3.2355,1.6295,1.4165,1.4714,-43.56
13,45,22,0.0294,1.5514,1.3582,1.3944,-25.23
14,-45,22,0.0279,1.55,1.3879,1.4150,17.45
68,-45,23,-3.1931,1.6174,1.4969,1.5532,37.72
69,45,23,-3.1924,1.6182,1.4363,1.4740,34.17
70,-45,24,-6.401,1.8659,1.3872,1.4865,32.27
71,45,24,-6.4012,1.8689,1.3976,1.4728,28.79
72,-45,25,-9.5036,2.254,1.4335,1.6032,39.99
76,45,25,-9.5023,2.2595,1.3827,1.5357,37.12
11,45,26,7.8358,4.8061,1.3824,1.5471,-33.45
12,-45,26,7.8342,4.8046,1.3673,1.5150,-33.06
0,45,27,4.7391,4.5192,1.4058,1.4899,-23.01
1,-45,27,4.7377,4.5205,1.4304,1.5073,-20.69
2,45,28,1.5819,4.3864,1.3726,1.4431,-13.71
4,-45,28,1.5816,4.3853,1.3849,1.4457,-2.33
79,45,29,-1.56,4.3875,1.3753,1.4444,4.8
80,-45,29,-1.5601,4.3862,1.3518,1.4346,16.87
77,45,30,-4.7131,4.5385,1.3656,1.4339,13.22
78,-45,30,-4.7122,4.537,1.3526,1.4467,23.11
66,45,31,-7.8095,4.8238,1.4084,1.5480,30.99
67,-45,31,-7.8134,4.8272,1.4561,1.6225,31.34
5,45,32,6.1884,7.4543,1.3888,1.5648,-23.33
7,-45,32,6.1834,7.4553,1.3761,1.5448,-22.55
8,45,33,3.0966,7.2812,1.3770,1.4883,-12.41
9,-45,33,3.0936,7.2807,1.3700,1.4817,-6.81
85,-45,34,0.0127,7.2127,1.3272,1.4505,3.71
86,45,34,0.0152,7.2143,1.3341,1.4586,-4.65
83,45,35,-3.0919,7.2857,1.3612,1.4745,8.13
84,-45,35,-3.0941,7.2837,1.3597,1.4823,14.45
81,45,36,-6.1521,7.4593,1.3549,1.5219,19.75
82,-45,36,-6.1548,7.4566,1.3433,1.5232,21.29
