Feed,AzOff,ElOff,FWHM_x,FWHM_y,Theta
1,6.77165,-6.74735,1.4389,1.5565,-72.27
2,3.4222,-7.05845,1.3957,1.5115,-75.11
3,0.00595,-7.17655,1.3841,1.5182,-0.80
4,-3.4079,-7.0618,1.3508,1.4512,78.55
5,-6.7034,-6.75125,1.3902,1.5156,74.96
6,8.2724,-3.8407,1.3858,1.5134,-61.40
7,5.01285,-4.2217,1.4099,1.5196,-59.97
8,1.6907,-4.4361,1.4023,1.4878,-79.73
9,-1.68735,-4.4449,1.3646,1.4405,-3.35
10,-4.9597,-4.2565,1.3209,1.3985,59.02
11,-8.2369,-3.8655,1.4432,1.5862,62.25
12,9.73305,-0.8523,1.3476,1.4988,-55.79
13,6.54965,-1.31575,1.3443,1.4544,-44.51
14,3.3133,-1.59375,1.4016,1.4501,-62.66
15,0.0148,-1.68665,1.4430,1.4736,14.92
16,-3.25955,-1.6277,1.4788,1.5171,63.52
17,-6.51965,-1.36,1.3635,1.4831,43.97
18,-9.71755,-0.9083,1.3777,1.5183,54.66
19,9.5216,2.27575,1.3733,1.5266,-45.56
20,6.4227,1.8816,1.3801,1.4731,-34.00
21,3.23645,1.62835,1.4197,1.4642,-43.28
22,0.02865,1.5507,1.3730,1.4047,-3.89
23,-3.19275,1.6178,1.4666,1.5137,35.95
24,-6.4011,1.8674,1.3924,1.4797,30.53
25,-9.50295,2.25675,1.4081,1.5695,38.56
26,7.835,4.80535,1.3749,1.5311,-33.26
27,4.7384,4.51985,1.4181,1.4986,-21.85
28,1.58175,4.38585,1.3787,1.4444,-8.02
29,-1.56005,4.38685,1.3636,1.4395,10.84
30,-4.71265,4.53775,1.3591,1.4403,18.17
31,-7.81145,4.8255,1.4323,1.5853,31.17
32,6.1859,7.4548,1.3825,1.5548,-22.94
33,3.0951,7.28095,1.3735,1.4850,-9.61
34,0.01395,7.2135,1.3307,1.4546,-0.47
35,-3.093,7.2847,1.3604,1.4784,11.29
36,-6.15345,7.45795,1.3491,1.5226,20.52
